IDAtributoQuestionario;IDIndicadorEspecificoQuestionario;DSAtributoQuestionario;NOAtributoQuestionario;NRPeso
1820;402;Atende duas das opções listadas.;N3;2,52059979
1821;402;Atende uma das opções listadas.;N2;0,72946978
1822;402;Não atende nenhuma das opções listadas.;N1;0
1823;403;Já foi realizado levantamento das espécies para caracterização da biota (terrestre e/ou aquática) existente na área de influência direta da instalação portuária E há monitoramento de espécies ou grupo de espécies indicadoras de alterações da qualidade ambiental decorrentes da operação da instalação portuária (uso de bioindicadores).;N3;0,978458281
1824;403;Foi realizada a caracterização da biota OU são utilizados bioindicadores.;N2;0,25785511
1825;403;Não atende a nenhuma das opções anteriores.;N1;0
1827;404;Atende todas as opções listadas.;N5;2,935374843
1828;404;Atende três das opções listadas.;N4;1,691260229
1829;404;Atende duas das opções listadas.;N3;0,928956092
1830;404;Atende uma das opções listadas.;N2;0,268842915
1831;404;Não atende nenhuma das opções listadas.;N1;0
1833;405;Atende todas as opções listadas.;N3;0,978458281
1834;405;Atende duas das opções listadas.;N2;0,356035959
1835;405;Atende uma das opções listadas.;N1;0
1836;406;A instalação portuária possui Licença de Operação válida e vigente.;N3;12,59039418
1837;406;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,42002029
1838;406;A instalação portuária não possui Licença de Operação.;N1;0
1843;407;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;3,540049473
1844;407;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;1,925700038
1845;407;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
1846;408;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;1,746619828
1847;408;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,460290292
1848;408;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
1850;409;A auditoria ambiental foi realizada até dois anos atrás.;N3;5,379711836
1851;409;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,417726452
1852;409;Nunca foi realizada auditoria ambiental.;N1;0
1853;410;Existe banco de dados com atualização mínima semestral.;N3;1,727190873
1854;410;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,45517014
1855;410;Não existe banco de dados.;N1;0
1856;411;Atende todos os planos/programas listados abaixo.;N5;11,56238481
1857;411;Atende quatro dos planos/programas listados abaixo.;N4;6,661841377
1858;411;Atende três dos planos/programas listados abaixo.;N3;3,659140104
1859;411;Atende dois dos planos/programas listados abaixo.;N2;1,058967051
1860;411;Atende um dos planos/programas listados abaixo.;N1;0
1862;412;Nenhum acidente ambiental.;N5;3,870120688
1863;412;De um a três acidentes ambientais dentro do limite da área da instalação portuária.;N4;1,429044381
1864;412;Acima de três acidentes ambientais dentro do limite da área da instalação portuária.;N3;0,797217878
1865;412;De um a três acidentes ambientais além dos limites da área da instalação portuária.;N2;0,168073614
1866;412;Acima de três acidentes ambientais além dos limites da área da instalação portuária ou não é realizado o registro de acidentes.;N1;0
1867;413;Atende todas as opções listadas.;N5;6,362473903
1868;413;Atende três das opções listadas.;N4;3,665834739
1869;413;Atende duas das opções listadas.;N3;2,013527814
1870;413;Atende uma das opções listadas.;N2;0,5827215
1871;413;Não há retirada de resíduos dos navios na instalação portuária.;N1;0
1873;414;Atende todas as ações listadas.;N5;3,181236951
1874;414;Atende três das ações listadas.;N4;1,832917369
1875;414;Atende duas das ações listadas.;N3;1,006763907
1876;414;Atende uma das ações listadas.;N2;0,29136075
1877;414;Não atende nenhuma das ações listadas.;N1;0
1880;415;Atende todas as opções listadas.;N3;1,503026407
1881;415;Atende duas das opções listadas.;"N2 ";0
1882;415;Não atende qualquer das opções listadas.;N1;0
1883;416;Sim, utilizada em atividades operacionais e administrativas.;N3;0,449711874
1884;416;Sim, utilizada somente em atividades administrativas.;N2;0,163638656
1885;416;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
1886;417;Dispõe de sistema OPS.;N3;0,1794076
1887;417;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,074078302
1888;417;Não possui sistema OPS.;N1;0
1890;418;"Atende todas as opções listadas. ";N5;5,970455341
1891;418;Atende três das opções listadas.;N4;3,074312935
1892;418;Atende duas das opções listadas.;N3;1,406354312
1893;418;Atende uma das opções listadas.;N2;0,490177546
1894;418;Não atende nenhuma das opções listadas.;N1;0
1895;419;Mais de 22 dos itens listados.;N5;0,300511017
1896;419;De 18 a 22 dos itens listados.;N4;0,203819368
1897;419;De 12 a 17 dos itens listados.;N3;0,089028353
1898;419;De 7 a 11 dos itens listados.;N2;0,028168428
1899;419;Até 6 dos itens listados.;N1;0
1900;420;Há agenda ambiental local e há ações de implantação.;N3;1,472197306
1901;420;Há agenda ambiental local, mas não há ações de implantação.;N2;0,196653168
1902;420;Não foi elaborada agenda ambiental local.;N1;0
1903;421;Há agenda ambiental institucional e há ações de implantação.;N3;0,790989479
1904;421;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,105658791
1905;421;Não foi elaborada agenda ambiental institucional.;N1;0
1906;422;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,559314025
1907;422;A instalação portuária possui uma certificação voluntária.;N4;0,213933629
1908;422;Há certificação voluntária em processo de desenvolvimento.;N3;0,059517182
1909;422;Há planejamento formal para requisição de certificação voluntária.;N2;0,02307696
1910;422;Não atende a nenhuma das opções acima.;N1;0
1913;423;A Autoridade Portuária apresenta planilha(s) com informações atuais sobre a situação das empresas (terminais arrendados e/ou operadores avulsos) quanto a todas as opções listadas.;N5;3,789571309
1914;423;A Autoridade Portuária apresenta planilha(s) com informações sobre cinco das opções listadas.;N4;2,008619634
1915;423;A Autoridade Portuária apresenta planilha(s) com informações sobre quatro das opções listadas.;N3;0,693412326
1916;423;A Autoridade Portuária apresenta planilha(s) com informações sobre três das opções listadas.;N2;0,175350693
1917;423;A Autoridade Portuária apresenta planilha com informações sobre até duas das opções listadas.;N1;0
1919;424;Todas as empresas (100%) que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N5;2,722464478
1920;424;Entre 75% e 100% (75% = e < 100%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N4;1,443011665
1921;424;Entre 50% e 75% (50% = e < 75%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N3;0,498154085
1922;424;Entre 25% e 50% (25% = e < 50%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N2;0,125973625
1923;424;Menos de 25% das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N1;0
1924;425;Todos (100%) os terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N5;1,516842941
1925;425;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N4;0,803985534
1926;425;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N3;0,277550548
1927;425;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N2;0,070187216
1928;425;Menos de 25% dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N1;0
1929;426;Todos (100%) os terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N5;0,693282819
1930;426;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N4;0,367466758
1931;426;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N3;0,126856262
1932;426;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N2;0,032079518
1933;426;Menos de 25% dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N1;0
1934;427;Todos (100%) os terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N5;1,020759603
1935;427;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N4;0,541042143
1936;427;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N3;0,186777668
1937;427;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N2;0,047232494
1938;427;Menos de 25% dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N1;0
1939;428;Todas (100%) as empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações;N5;0,31872266
1940;428;Entre 75% e 100% (75% = e < 100%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N4;0,16893536
1941;428;Entre 50% e 75% (50% = e < 75%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N3;0,058319584
1942;428;Entre 25% e 50% (25% = e < 50%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N2;0,014747905
1943;428;Menos de 25% das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N1;0
1944;429;Todos (100%) os terminais arrendados desenvolvem programas de educação ambiental.;N5;0,654266288
1945;429;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados desenvolvem programas de educação ambiental.;N4;0,346786485
1946;429;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados desenvolvem programas de educação ambiental.;N3;0,119717053
1947;429;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados desenvolvem programas de educação ambiental.;N2;0,030274149
1948;429;Menos de 25% dos terminais arrendados desenvolvem programas de educação ambiental.;N1;0
1949;430;Atende todas as opções listadas.;N3;4,956450125
1950;430;Atende duas das opções listadas;N2;1,306183429
1951;430;Atende uma das opções listadas.;N1;0
1953;431;Realizou quatro ou mais ações de promoção de saúde no último ano.;N5;2,478225063
1954;431;Realizou três ações de promoção de saúde no último ano.;N4;1,427866529
1955;431;Realizou duas ações de promoção de saúde no último ano.;N3;0,78428221
1956;431;Realizou uma ação de promoção de saúde no último ano.;N2;0,226973823
1957;431;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
1958;432;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
1959;432;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
1960;432;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
1961;432;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com o porto.;N2;0,132375982
1962;432;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água.;N1;0
1963;433;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N5;0,404970051
1964;433;"Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).  ";N4;0,247696378
1965;433;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N3;0,156624752
1966;433;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).;N2;0,068742829
1967;433;Não há sistema de drenagem pluvial na instalação portuária.;N1;0
1968;434;Há acompanhamento, indicadores de eficiência, metas de desempenho e ações de reuso.;N3;0,998742028
1969;434;Há controle das ações.;N2;0,232161534
1970;434;Não há controle das ações.;N1;0
1971;435;Há monitoramento ambiental da área dragada e da área de disposição;N3;1,235339539
1972;435;Há monitoramento ambiental da área dragada ou da área de disposição.;N2;0,449508483
1973;435;Não há monitoramento ambiental das dragagens.;N1;0
1974;436;"A instalação portuária nunca teve passivos ambientais. ";N5;1,235339539
1975;436;A instalação portuária teve passivos ambientais, que já foram remediados.;N4;0,684828835
1976;436;"A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso. ";N3;0,216403458
1977;436;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N2;0,072183342
1978;436;A instalação portuária possui passivos ambientais, mas não fez diagnóstico e nem adotou medidas de remediação.;N1;0
1979;437;É feito o monitoramento das emissões de materiais particulados E de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N5;1,101805927
1980;437;É feito o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N4;0,368436802
1981;437;É feito apenas o monitoramento das emissões de materiais particulados E de gases com periodicidade regular.;N3;0,170998791
1982;437;É feito apenas o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular.;N2;0,059214839
1983;437;Não atende a nenhuma das opções acima.;N1;0
1984;438;Há monitoramento periódico de ruídos e existe inventário com identificação das fontes e respectivos níveis de ruído para elaboração de mapa de riscos (PPRA).;N3;0,367268642
1985;438;Foi elaborado o mapa de riscos, mas não é feito monitoramento dos ruídos com periodicidade regular.;N2;0,106424822
1986;438;Não atende a nenhuma das opções anteriores.;N1;0
1988;439;A instalação portuária atende todas as opções listadas.;N5;7,964752347
1989;439;Atende três das opções listadas.;N4;4,589011489
1990;439;Atende duas das opções listadas.;N3;2,52059979
1991;439;Atende uma das opções listadas.;N2;0,72946978
1992;439;Não atende nenhuma das opções listadas.;N1;0
1993;440;Já foi realizado levantamento das espécies para caracterização da biota (terrestre e/ou aquática) existente na área de influência direta da instalação portuária E há monitoramento de espécies ou grupo de espécies indicadoras de alterações da qualidade ambiental decorrentes da operação da instalação portuária (uso de bioindicadores).;N3;0,978458281
1994;440;Foi realizada a caracterização da biota OU são utilizados bioindicadores.;N2;0,25785511
1995;440;Não atende a nenhuma das opções anteriores.;N1;0
1997;441;Atende todas as opções listadas.;N5;2,935374843
1998;441;Atende três das opções listadas.;N4;1,691260229
1999;441;Atende duas das opções listadas.;N3;0,928956092
2000;441;Atende uma das opções listadas.;N2;0,268842915
2001;441;Não atende nenhuma das opções listadas.;N1;0
2003;442;Atende todas as opções listadas.;N3;0,978458281
2004;442;Atende duas das opções listadas.;N2;0,356035959
2005;442;Atende uma das opções listadas.;N1;0
2006;443;A instalação portuária possui Licença de Operação válida e vigente.;N3;12,59039418
2007;443;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,42002029
2008;443;A instalação portuária não possui Licença de Operação.;N1;0
2013;444;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;3,540049473
2014;444;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;1,925700038
2015;444;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
2016;445;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;1,746619828
2017;445;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,460290292
2018;445;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
2020;446;A auditoria ambiental foi realizada até dois anos atrás.;N3;5,379711836
2021;446;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,417726452
2022;446;Nunca foi realizada auditoria ambiental.;N1;0
2023;447;Existe banco de dados com atualização mínima semestral.;N3;1,727190873
2024;447;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,45517014
2025;447;Não existe banco de dados.;N1;0
2026;448;Atende todos os planos/programas listados abaixo.;N5;11,56238481
2027;448;Atende quatro dos planos/programas listados abaixo.;N4;6,661841377
2028;448;Atende três dos planos/programas listados abaixo.;N3;3,659140104
2029;448;Atende dois dos planos/programas listados abaixo.;N2;1,058967051
2030;448;Atende um dos planos/programas listados abaixo.;N1;0
2032;449;Nenhum acidente ambiental.;N5;3,870120688
2033;449;De um a três acidentes ambientais dentro do limite da área da instalação portuária.;N4;1,429044381
2034;449;Acima de três acidentes ambientais dentro do limite da área da instalação portuária.;N3;0,797217878
2035;449;De um a três acidentes ambientais além dos limites da área da instalação portuária.;N2;0,168073614
2036;449;Acima de três acidentes ambientais além dos limites da área da instalação portuária ou não é realizado o registro de acidentes.;N1;0
2037;450;Atende todas as opções listadas.;N5;6,362473903
2038;450;Atende três das opções listadas.;N4;3,665834739
2039;450;Atende duas das opções listadas.;N3;2,013527814
2040;450;Atende uma das opções listadas.;N2;0,5827215
2041;450;Não há retirada de resíduos dos navios na instalação portuária.;N1;0
2043;451;Atende todas as ações listadas.;N5;3,181236951
2044;451;Atende três das ações listadas.;N4;1,832917369
2045;451;Atende duas das ações listadas.;N3;1,006763907
2046;451;Atende uma das ações listadas.;N2;0,29136075
2047;451;Não atende nenhuma das ações listadas.;N1;0
2050;452;Atende todas as opções listadas.;N3;1,503026407
2051;452;Atende duas das opções listadas.;"N2 ";0
2052;452;Não atende qualquer das opções listadas.;N1;0
2053;453;Sim, utilizada em atividades operacionais e administrativas.;N3;0,449711874
2054;453;Sim, utilizada somente em atividades administrativas.;N2;0,163638656
2055;453;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
2056;454;Dispõe de sistema OPS.;N3;0,1794076
2057;454;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,074078302
2058;454;Não possui sistema OPS.;N1;0
2060;455;"Atende todas as opções listadas. ";N5;5,970455341
2061;455;Atende três das opções listadas.;N4;3,074312935
2062;455;Atende duas das opções listadas.;N3;1,406354312
2063;455;Atende uma das opções listadas.;N2;0,490177546
2064;455;Não atende nenhuma das opções listadas.;N1;0
2065;456;Mais de 22 dos itens listados.;N5;0,300511017
2066;456;De 18 a 22 dos itens listados.;N4;0,203819368
2067;456;De 12 a 17 dos itens listados.;N3;0,089028353
2068;456;De 7 a 11 dos itens listados.;N2;0,028168428
2069;456;Até 6 dos itens listados.;N1;0
2070;457;Há agenda ambiental local e há ações de implantação.;N3;1,472197306
2071;457;Há agenda ambiental local, mas não há ações de implantação.;N2;0,196653168
2072;457;Não foi elaborada agenda ambiental local.;N1;0
2073;458;Há agenda ambiental institucional e há ações de implantação.;N3;0,790989479
2074;458;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,105658791
2075;458;Não foi elaborada agenda ambiental institucional.;N1;0
2076;459;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,559314025
2077;459;A instalação portuária possui uma certificação voluntária.;N4;0,213933629
2078;459;Há certificação voluntária em processo de desenvolvimento.;N3;0,059517182
2079;459;Há planejamento formal para requisição de certificação voluntária.;N2;0,02307696
2080;459;Não atende a nenhuma das opções acima.;N1;0
2083;460;A Autoridade Portuária apresenta planilha(s) com informações atuais sobre a situação das empresas (terminais arrendados e/ou operadores avulsos) quanto a todas as opções listadas.;N5;3,789571309
2084;460;A Autoridade Portuária apresenta planilha(s) com informações sobre cinco das opções listadas.;N4;2,008619634
2085;460;A Autoridade Portuária apresenta planilha(s) com informações sobre quatro das opções listadas.;N3;0,693412326
2086;460;A Autoridade Portuária apresenta planilha(s) com informações sobre três das opções listadas.;N2;0,175350693
2087;460;A Autoridade Portuária apresenta planilha com informações sobre até duas das opções listadas.;N1;0
2089;461;Todas as empresas (100%) que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N5;2,722464478
2090;461;Entre 75% e 100% (75% = e < 100%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N4;1,443011665
2091;461;Entre 50% e 75% (50% = e < 75%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N3;0,498154085
2092;461;Entre 25% e 50% (25% = e < 50%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N2;0,125973625
2093;461;Menos de 25% das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N1;0
2094;462;Todos (100%) os terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N5;1,516842941
2095;462;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N4;0,803985534
2096;462;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N3;0,277550548
2097;462;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N2;0,070187216
2098;462;Menos de 25% dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N1;0
2099;463;Todos (100%) os terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N5;0,693282819
2100;463;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N4;0,367466758
2101;463;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N3;0,126856262
2102;463;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N2;0,032079518
2103;463;Menos de 25% dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N1;0
2104;464;Todos (100%) os terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N5;1,020759603
2105;464;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N4;0,541042143
2106;464;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N3;0,186777668
2107;464;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N2;0,047232494
2108;464;Menos de 25% dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N1;0
2109;465;Todas (100%) as empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações;N5;0,31872266
2110;465;Entre 75% e 100% (75% = e < 100%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N4;0,16893536
2111;465;Entre 50% e 75% (50% = e < 75%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N3;0,058319584
2112;465;Entre 25% e 50% (25% = e < 50%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N2;0,014747905
2113;465;Menos de 25% das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N1;0
2114;466;Todos (100%) os terminais arrendados desenvolvem programas de educação ambiental.;N5;0,654266288
2115;466;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados desenvolvem programas de educação ambiental.;N4;0,346786485
2116;466;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados desenvolvem programas de educação ambiental.;N3;0,119717053
2117;466;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados desenvolvem programas de educação ambiental.;N2;0,030274149
2118;466;Menos de 25% dos terminais arrendados desenvolvem programas de educação ambiental.;N1;0
2119;467;Atende todas as opções listadas.;N3;4,956450125
2120;467;Atende duas das opções listadas;N2;1,306183429
2121;467;Atende uma das opções listadas.;N1;0
2123;468;Realizou quatro ou mais ações de promoção de saúde no último ano.;N5;2,478225063
2124;468;Realizou três ações de promoção de saúde no último ano.;N4;1,427866529
2125;468;Realizou duas ações de promoção de saúde no último ano.;N3;0,78428221
2126;468;Realizou uma ação de promoção de saúde no último ano.;N2;0,226973823
2127;468;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
2128;469;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
2129;469;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
2130;469;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
2131;469;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com o porto.;N2;0,132375982
2132;469;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água.;N1;0
2133;470;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N5;0,404970051
2134;470;"Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).  ";N4;0,247696378
2135;470;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N3;0,156624752
2136;470;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).;N2;0,068742829
2137;470;Não há sistema de drenagem pluvial na instalação portuária.;N1;0
2138;471;Há acompanhamento, indicadores de eficiência, metas de desempenho e ações de reuso.;N3;0,998742028
2139;471;Há controle das ações.;N2;0,232161534
2140;471;Não há controle das ações.;N1;0
2141;472;"A instalação portuária nunca teve passivos ambientais. ";N5;2,470679079
2142;472;A instalação portuária teve passivos ambientais, que já foram remediados.;N4;1,36965767
2143;472;"A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso. ";N3;0,432806917
2144;472;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N2;0,144366684
2145;472;A instalação portuária possui passivos ambientais, mas não fez diagnóstico e nem adotou medidas de remediação.;N1;0
2146;473;É feito o monitoramento das emissões de materiais particulados E de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N5;1,101805927
2147;473;É feito o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N4;0,368436802
2148;473;É feito apenas o monitoramento das emissões de materiais particulados E de gases com periodicidade regular.;N3;0,170998791
2149;473;É feito apenas o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular.;N2;0,059214839
2150;473;Não atende a nenhuma das opções acima.;N1;0
